Official Name of Satellite,Dry Mass (Kilograms)
Iridium 90,556
Iridium 91,556
Iridium 94,556
Iridium 95,556
Iridium 96,556
Iridium 97,556
Iridium 98,556
IRIS,
IRNSS-1A,614
IRNSS-1B,615
IRNSS-1C,598
IRNSS-1D,598
IRNSS-1E,598
IRNSS-1F,598
IRNSS-1G,598
IRS-P6,
ITU-pSAT1,
Jason 2,510
Jason 3,510
JCSat 10,1858
JCSat 110,1669
JCSat 13,
JCSat 14,
JCSat 1B,1308
JCSat 2A,1460
JCSat 4A,1230
JCSat 9,
JCSat RA,
Jilin-1,
Jugnu,
Kaituo-1A,
Kalpana-1,500
KazEOSat-1,
KazEOSat-2,
KazSat-2,
KazSat-3,
Kent Ridge 1,
USA 186,10000
USA 224,10000
USA 245,10000
ETS-8,
Kizuna,2450
KJSY-1,
KKS-1,
Kompsat-2,
Kompsat-3,
Kompsat-3A,
Kompsat-5,
Cosmos 2487,
Koreasat 5,
Koreasat 6,1150
Kuaizhou-2,
Kukai,
USA 133,
USA 152,
USA 182,
Landsat 7,2200
Landsat 8,1512
LaoSat-1,
LAPAN A2,
LAPAN A3,
LAPAN-Tubsat,
LatinSat A,12
LatinSat B,12
Lemur-1,
Lemur-2 Chris,
Lemur-2Jeroen,
Lemur-2 Joel,
Lemur-2 Peter,
LilacSat-2,
Ling Qiao,
Lingqiao-A,
Lingqiao-B,
LMRSTSat,
Long Excursion 1,
Cosmos 2455,
Cosmos 2502,
LQSat,
Luch 5A,
Luch 5B,950
Luch 5V,950
Luch/Olympus,
M3MSat,
Maroc Tubsat,
M-Cubed/E1P-U2,
Measat 2,650
Measat 3,3220
Measat 3A,
Measat 3B,
Megha-Tropiques,
USA 105,4000
USA 118,4000
USA 250,
Meridian-3,
Meridian-4,
Meridian-6,
Meridian-7,
Meteor-M N-2,
Meteosat 10,
Meteosat 11,1200
Meteosat 7,320
Meteosat 8,1000
Meteosat 9,1000
MetOp-A,3750
MetOp-B,
Mexsat-3,
Mexsat-2,
MICROSCOPE,
MVL-300,
USA 99,
USA 115,
USA 157,
USA 164,
USA 169,
MKA-FKI-1,
MMS-1,
MMS-2,
MMS-3,
MMS-4,
Microvariability & Oscillations of Stars (MOST),53
Mozhayets 4,
MSAT 1,1330
MSAT 2,1330
Multispectral Thermal Imager (MTI),
MTSAT-2,1250
MUOS-1,
MUOS-2,
MUOS-3,3812
MUOS-4,
MUOS-5,
Nanosat-1,15
Nanosat-1B,15
NATO-4B,660
USA 213,
USA 262,
USA 265,
USA 266,
USA 232,
USA 239,
USA 242,
USA 248,
USA 251,
USA 256,
USA 258,
USA 260,
USA 175,980
USA 177,980
USA 178,980
USA 180,980
USA 132,980
USA 145,980
USA 150,980
USA 151,980
USA 154,980
USA 156,980
USA 166,980
USA 168,980
USA 183,980
USA 190,
USA 192,
USA 196,980
USA 199,
USA 201,980
USA 206,980
Naxing 2,
NBN-1A,
NEOSSat,
NigComSat-1R,
NigeriaSat-2,
Nigeriasat-X,
Nilesat 102,810
Nilesat 201,1700
Nimiq 2,1700
Nimiq 4, 
Nimiq 5,
Nimiq 6,
NOAA-15,1500
NOAA-18,1500
NOAA-19,
NPP,
NPS-SCAT,
NSS-10,
NSS-11,2000
NSS-12,5624
NSS-5,2000
NSS-6,2600
NSS-7,2500
NSS-806,2200
NSS-9,1014
N-Star C,800
NUDT Phonesat,
ÑuSat-1,
ÑuSat-2 ,
NuSTAR,
USA 219,
O3b FM02,
O3b FM03,
O3b FM04,
O3b FM05,
O3b FM06,
O3b FM07,
O3b FM08,
O3B FM09,
O3B FM10,
O3B FM11,
O3B FM12,
O3b PFM,
Oceansat-2,
OCO 2,
Odin,170
Ofeq 10,
Ofeq 5,
Ofeq 7,
Ofeq 9,
OPTOS,
Optus 10,
Optus and Defence C1,2000
Optus B3 ,1582
Optus D1,
Optus D2,
Optus D3,
ORBCOMM FM-10,22
ORBCOMM FM-11,22
ORBCOMM FM-12,22
ORBCOMM FM-13,22
ORBCOMM FM-14,22
ORBCOMM FM-15,22
ORBCOMM FM-16,22
ORBCOMM FM-18,22
ORBCOMM FM-19,22
ORBCOMM FM-20,22
ORBCOMM FM-21,22
ORBCOMM FM-23,22
ORBCOMM FM-27,22
ORBCOMM FM-30,22
ORBCOMM FM-31,22
ORBCOMM FM-32,22
ORBCOMM FM-34,22
ORBCOMM FM-35,22
ORBCOMM FM-36,22
ORBCOMM FM-4,22
ORBCOMM FM-5,22
ORBCOMM FM-6,22
ORBCOMM FM-7,22
ORBCOMM FM-8,22
ORBCOMM FM-9,22
ORBCOMM FM-103,
ORBCOMM FM-104,
ORBCOMM FM-105,
ORBCOMM FM-106,
ORBCOMM FM-107,
ORBCOMM FM-108,
