movie_title,release_date,genre,mpaa_rating,total_gross,Pricce
In the Army Now,12-08-1994,Comedy,PG,28881266,
Color of Night,19-08-1994,Thriller/Suspense,R,19750470,
Camp Nowhere,26-08-1994,Comedy,PG,10442641,
It's Pat,26-08-1994,Comedy,,60822,
A Simple Twist of Fate,02-09-1994,Drama,PG-13,3404935,
Quiz Show,14-09-1994,Drama,PG-13,24787282,
Terminal Velocity,23-09-1994,Action,PG-13,16478900,
Ed Wood,30-09-1994,Comedy,R,5828466,
The Puppet Masters,21-10-1994,Horror,R,8579626,
Squanto: A Warrior's Tale,28-10-1994,Drama,PG,3319344,
The Santa Clause,11-11-1994,Comedy,PG,144833357,
A Low Down Dirty Shame,23-11-1994,Action,R,29317886,
The Jungle Book,25-12-1994,Adventure,PG,44342956,
Houseguest,06-01-1995,Comedy,PG,26325256,
Bad Company,20-01-1995,Thriller/Suspense,R,3523909,
Miami Rhapsody,27-01-1995,Romantic Comedy,PG-13,5086578,
The Jerky Boys,03-02-1995,Comedy,R,7555256,
Heavy Weights,17-02-1995,Comedy,PG,17671310,
Man of the House,03-03-1995,Comedy,PG,40029009,
Roommates,03-03-1995,Comedy,PG,12076989,
Tall Tale,24-03-1995,Western,PG,8247627,
A Pyromaniac's Love Story,28-03-1995,Romantic Comedy,PG,468240,
Jefferson in Paris,31-03-1995,Drama,PG-13,2461628,
Funny Bones,31-03-1995,Comedy,R,529135,
A Goofy Movie,07-04-1995,Comedy,G,35336439,
While You Were Sleeping,21-04-1995,Romantic Comedy,PG,81057016,
Crimson Tide,12-05-1995,Action,R,91387195,
Mad Love,26-05-1995,Drama,PG-13,15446532,
Pocahontas,10-06-1995,Adventure,G,141579773,
Judge Dredd,30-06-1995,Action,R,34687912,
Operation Dumbo Drop,28-07-1995,Adventure,PG,24670346,
Dangerous Minds,11-08-1995,Drama,R,84919401,
A Kid in King Arthur's Court,11-08-1995,Adventure,PG,13406717,
The Tie That Binds,08-09-1995,Thriller/Suspense,R,5762795,
Unstrung Heroes,15-09-1995,Drama,PG,7929000,
